Asset ID,Category,Client Name,Business Name
CC-WKS-002,Downloadable Client Resources,[CLIENT_NAME],[BUSINESS_NAME]

Section,Question / Item,Client Response / Details,Status
Section 1,What is your business name?,[BUSINESS_NAME],Completed
Section 1,Who is your exact ideal client?,[TARGET_AUDIENCE],Completed
Section 1,What is the main problem you fix for them?,[CORE_PROBLEM],Completed
Section 1,What is the big result they get when working with you?,[DESIRED_OUTCOME],Completed
Section 1,What is your main offer package called?,[PRIMARY_OFFER],Completed
Section 2,Top logo uploaded,Link to logo file,Pending
Section 2,Main headline written,Headline text draft,Pending
Section 2,3 client reviews or quotes collected,Quotes text draft,Pending
Section 2,Main button link provided,[BOOKING_URL],Completed
Section 2,3 common questions answered for FAQ,FAQ draft,Pending
